"#"" IOA data file in comma separated values (.csv). Should be in folder """"data"""" under main folder where the program starts in""",,,,,,,,,,,
# If first character of first column in any row is ! Then GI will cancel rest of the rows.,,,,,,,,,,,
# Supported types:,,,,,,,,,,,
#,"SPI (1,30)",OFF = 0,ON = 1,,,,,,,,
#,"DPI(3,31)",OFF = 01,ON = 02,XX = 00/11,,,,,,,
#,"NVA(9,34)","Example, if you want to send 11Kv then value=(11000/max. value) = (11000/13200) = 0.83",,,,,,,,,
#,"SVA(11,35)","Example, if you want to send 11Kv then value = 11",,,,,,,,,
#,"FLT(13,36)","Example, if you want to send 11.23Kv then value = 11.23",,,,,,,,,
#,"SCO(45,58) - value should equal the IOA of its status.",,,,,,,,,,
#,"DCO(46,59) - value should equal the IOA of its status.",,,,,,,,,,
#,,,,,,,,,,,
"# send index entry from rtu if filter conditions received by connected master before timeout=T-out in second. Example: 0.002 = 2 ms, 3 = 3 sec.",,,,,,,,,,,
# empty filter entry will not be used for filtering. Example: if rtuno is empty then index entry will be sent regardless the rtuno,,,,,,,,,,,
# filters are not used during sending GI entries or during replying to commands.,,,,,,,,,,,
"# wait sec: Program will wait for 'wait sec' after sending the index entry. Not used in GI. Example: 0.01 = 10 ms, 5 = 5 sec.",,,,,,,,,,,
#,,,,,,filter -------------------------------- conditions,,,,,
#,,,,,,if,and if,and if,and if,filter,
#index,GI,typeid,IOA,Value,wait sec,rtu no,type id,ioa,value,T-out(s),Comment
#,--,------,---,-----,-----------,-----------,-----------,-----------,-----------,-----------,-----------
#------------------------,,DCO command + status --------------------,,,,,,,,,
21103,N,59,21103,515,0,,,,,, DUMMY CB
21001,N,59,21001,303,0,,,,,,  H-LN01Q0 CMD
21003,N,59,21003,307,0,,,,,, H-LN01Q3 CMD
21005,N,59,21005,311,0,,,,,, H-LN02Q0 CMD
21007,N,59,21007,315,0,,,,,, H-LN02Q3 CMD
21009,N,59,21009,319,0,,,,,,  H-LN03Q0 CMD
21011,N,59,21011,321,0,,,,,, H-LN03Q3 CMD
21013,N,59,21013,327,0,,,,,,  H-BS01Q0 CMD
21015,N,59,21015,333,0,,,,,, H-BS01Q2A CMD
21017,N,59,21017,335,0,,,,,, H-BS01Q2B CMD
21019,N,59,21019,339,0,,,,,,  H-TH01Q0 CMD
21021,N,59,21021,343,0,,,,,, H-TH01Q4 CMD
